SNP	Chr	SNP.GRCh37	SNP.GRCh38.p12	type
rs9437810	1	95536623	95071067	proxy
rs2391389	1	95485679	95020123	proxy
rs2391388	1	95485825	95020269	proxy
rs35777613	1	95494764	95029209	proxy
rs7547662	1	95457236	94991680	proxy
rs2893274	1	95485604	95020048	proxy
rs6675668	1	95515637	95050081	proxy
rs10782996	1	95499718	95034162	proxy
rs9437672	1	95528601	95063045	proxy
rs1246349	1	95437770	94972214	proxy
rs7537374	1	95485424	95019868	proxy
rs4259714	1	95524156	95058600	proxy
rs7539139	1	95470537	95004981	proxy
rs7533303	1	95462971	94997415	proxy
rs6694535	1	95447933	94982377	proxy
rs2797623	1	95445468	94979912	proxy
rs72746524	1	211951288	211777946	proxy
rs12046116	1	211945541	211772199	proxy
rs112662024	1	211923084	211749743	proxy
rs72747041	1	211914153	211740811	proxy
rs11119805	1	211918244	211744902	proxy
rs12126561	1	211957111	211783769	proxy
rs12046293	1	211953285	211779943	proxy
rs1803468	1	211920085	211746743	proxy
rs2298092	1	211916587	211743245	proxy
rs12033577	1	211914486	211741144	proxy
rs12116638	1	211954708	211781366	proxy
rs11119810	1	211955125	211781783	proxy
rs145922850	1	211932640	211759299	proxy
rs201385915	1	211930596	211757255	proxy
rs12121773	1	211937136	211763794	proxy
rs12023263	1	211943879	211770537	proxy
rs12023717	1	211928634	211755292	proxy
rs11119811	1	211955150	211781808	proxy
rs72746522	1	211946160	211772818	proxy
rs2197456	3	144934142	145216355	proxy
rs1348656	3	144933520	145215733	proxy
rs1867602	3	144927723	145209936	proxy
rs9875413	3	144927495	145209708	proxy
rs11340603	3	144928269	145210483	proxy
rs1822906	3	144928287	145210500	proxy
rs62357940	5	107046218	107710517	proxy
rs62357937	5	107045438	107709737	proxy
rs59961335	5	107042328	107706627	proxy
rs148249758	5	107023762	107688062	proxy
rs1490836	5	107043063	107707362	proxy
rs67843712	5	107046429	107710728	proxy
rs6887589	5	107011559	107675858	proxy
rs7704700	5	107014175	107678474	proxy
rs62357939	5	107045464	107709763	proxy
rs62357932	5	107042662	107706961	proxy
rs62357891	5	107010916	107675215	proxy
rs143549982	5	107045824	107710123	proxy
rs7242060	18	41261988	43682023	proxy
rs322315	7	136943458	137258711	proxy
rs322316	7	136942629	137257882	proxy
rs322313	7	136946672	137261925	proxy
rs167718	7	136947407	137262660	proxy
rs322311	7	136948804	137264057	proxy
rs322301	7	136932185	137247438	proxy
rs10153405	18	41270672	43690707	proxy
rs1527442	18	41249263	43669298	proxy
rs28763755	18	41263726	43683761	proxy
rs322323	7	136940560	137255813	proxy
rs225137	7	136946906	137262159	proxy
rs864428	7	136925471	137240724	proxy
rs322319	7	136940966	137256219	proxy
rs201783519	3	158205089	158487301	proxy
rs12637678	3	158248622	158530833	proxy
rs9810887	3	158221710	158503921	proxy
rs4680439	3	158208076	158490287	proxy
rs199600598	3	158232862	158513917	proxy
rs9812624	3	158209650	158491861	proxy
rs12489496	3	158236244	158518455	proxy
rs6778202	3	158200575	158482786	proxy
rs4431160	3	158209066	158491277	proxy
rs6783284	3	158195550	158477761	proxy
rs6780896	3	158195395	158477606	proxy
rs58733163	3	158244196	158526407	proxy
rs9859129	3	158223794	158506005	proxy
rs9883657	3	158225999	158508210	proxy
rs4510417	3	158209553	158491764	proxy
rs1978781	3	158206783	158488994	proxy
rs6441201	3	158178324	158460535	proxy
rs7648618	3	158222838	158505049	proxy
rs145560394	3	158232393	55025188	proxy
rs939117	3	158200869	158483080	proxy
rs74814411	3	158230907	158515352	proxy
rs6441203	3	158194140	158476351	proxy
rs4886015	13	57961358	57387224	proxy
rs7490088	13	57927586	57353452	proxy
rs9819134	3	158228272	158510483	proxy
rs6441206	3	158241071	158523282	proxy
rs200290953	3	158231218	158513429	proxy
rs7639678	3	158241453	158523664	proxy
rs11714821	3	158194685	158476896	proxy
rs3037125	3	158193512	158475724	proxy
rs6762860	3	158215542	158497753	proxy
rs12496767	3	158179237	158461448	proxy
rs10936146	3	158203468	158485679	proxy
rs6780010	3	158235416	158517627	proxy
rs9865460	3	158212019	158494230	proxy
rs9872889	3	158173566	158455777	proxy
rs1978779	3	158211291	158493502	proxy
rs11719037	3	158215141	158497352	proxy
rs6775834	3	158233937	158516148	proxy
rs6780782	3	158186335	158468546	proxy
rs9810114	3	158212055	158494266	proxy
rs9835244	3	158203794	158486005	proxy
rs9563502	13	57944356	57370222	proxy
rs201343476	13	57931496	57357363	proxy
rs9569676	13	57941890	57367756	proxy
rs145139477	13	57944267	57370134	proxy
rs7995632	13	57954168	57380034	proxy
rs12584551	13	57935324	57361190	proxy
rs1595029	3	158241767	158523978	proxy
rs9569677	13	57956297	57382163	proxy
rs71968790	13	57941808	57367675	proxy
rs144102626	13	57889672	57315539	proxy
rs7649463	3	158190313	158472524	proxy
rs56154405	3	158205088	158487299	proxy
rs28375539	3	158244897	158527108	proxy
rs6795376	3	158214471	158496682	proxy
rs35072230	3	158182390	158464602	proxy
rs9653954	3	158230493	158512704	proxy
rs1369562	3	158208560	158490771	proxy
rs140804332	3	158231706	158514604	proxy
rs112353818	3	158239479	158521691	proxy
rs6441204	3	158200213	158482424	proxy
rs199705399	3	158233141	158515073	proxy
rs1595028	3	158241898	158524109	proxy
rs9857535	3	158228797	158511008	proxy
rs9858318	3	158223291	158505502	proxy
rs200789377	3	158233388	158515599	proxy
rs7620927	3	158245883	158528094	proxy
rs1595030	3	158193667	158475878	proxy
rs12638438	3	158219834	158502045	proxy
rs6776507	3	158234419	158516630	proxy
rs7623732	3	158222436	158504647	proxy
rs2363655	3	158234747	158516958	proxy
rs11714869	3	158194720	158476931	proxy
rs1714518	3	158213423	158495634	proxy
rs8057215	16	61620770	61586866	proxy
rs11861452	16	61615553	61581649	proxy
rs4525477	16	61623259	61589355	proxy
rs17822672	16	61630224	61596320	proxy
rs1343858	16	61637261	61603357	proxy
rs11859424	16	61640491	61606587	proxy
rs8059670	16	61624701	61590797	proxy
rs4353474	16	61637432	61603528	proxy
rs8045134	16	61640315	61606411	proxy
rs10514491	16	80315263	80281366	proxy
rs8060035	16	61625001	61591097	proxy
rs10639771	16	61640446	61606543	proxy
rs59994858	16	61640877	61606974	proxy
rs12446701	16	61639275	61605371	proxy
rs8057914	16	61642261	61608357	proxy
rs11862973	16	61640323	61606419	proxy
rs11862975	16	61640354	61606450	proxy
rs11866743	16	61640390	61606486	proxy
rs4146353	16	61629266	61595362	proxy
rs11866744	16	61640401	61606497	proxy
rs11866108	16	61621749	61587845	proxy
rs4784124	16	61585887	61551983	proxy
rs6032810	20	1067571	1086928	proxy
rs4344981	20	1084717	1104074	proxy
rs2317426	20	1078662	1098019	proxy
rs6032808	20	1066962	1086319	proxy
rs6663730	1	47347425	46881753	proxy
rs141032338	1	47386549	46943747	proxy
rs4491016	1	47394096	46928424	proxy
rs6077678	20	1069103	1088460	proxy
rs4813929	20	1084704	1104061	proxy
rs11699986	20	1070829	1090186	proxy
rs2208007	20	1067700	1087057	proxy
rs11211394	1	47383352	46917680	proxy
rs7556052	1	47414851	46949179	proxy
rs34342734	1	47411106	46945435	proxy
rs12132488	1	47389613	46923941	proxy
rs4646487	1	47279175	46813503	proxy
rs6663731	1	47347427	46881755	proxy
rs11807217	1	47371118	46905446	proxy
rs12409463	1	47343387	46877715	proxy
rs9332998	1	47404186	46938514	proxy
rs57025390	1	47412477	46946805	proxy
rs72637968	1	47341186	61603732	proxy
rs4660980	1	47399497	46933825	proxy
rs4646493	1	47281302	46815630	proxy
rs4813922	20	1076484	1095841	proxy
rs3890010	1	47398913	46933241	proxy
rs12080585	1	47390015	46924343	proxy
rs3820080	1	47281535	46815863	proxy
rs10890427	1	47385518	46919846	proxy
rs6678639	1	47331966	46866294	proxy
rs28597732	1	47365292	46899620	proxy
rs4660979	1	47397089	46931417	proxy
rs4507958	1	47383041	46917369	proxy
rs6672252	1	47374259	46908587	proxy
rs6672695	1	47374731	46909059	proxy
rs6032835	20	1079305	1098662	proxy
rs10890426	1	47385304	46919632	proxy
rs4660983	1	47424594	46958922	proxy
rs9333027	1	47396501	46930829	proxy
rs11211403	1	47392855	46927183	proxy
rs115074133	1	47409419	46875514	proxy
rs11211401	1	47390848	46925176	proxy
rs150932197	1	47401023	46932556	proxy
rs3766197	1	47281827	46816155	proxy
rs9333029	1	47396162	46930490	proxy
rs67392104	1	47393312	46927640	proxy
rs9332996	1	47405408	46939736	proxy
rs11211402	1	47392054	46926382	proxy
rs1126742	1	47398496	46932824	proxy
rs1847229	1	47423483	46957811	proxy
rs11211408	1	47416270	46950598	proxy
rs11211405	1	47395347	46929675	proxy
rs59428107	1	47364062	46898390	proxy
rs3766195	1	47284572	46818900	proxy
rs12095130	1	47345926	46880254	proxy
rs60705719	1	47382639	46916967	proxy
rs9429103	1	47331191	46865519	proxy
rs6687264	1	47374039	46908367	proxy
rs58936229	1	47379824	46914153	proxy
rs11583922	1	47310878	46845206	proxy
rs148556935	1	47398228	81082675	proxy
rs2072114	11	61605215	61837743	proxy
rs2727271	11	61603358	61835886	proxy
rs2727270	11	61603237	61835765	proxy
rs2072113	11	61604967	61837495	proxy
rs2524299	11	61604782	61837310	proxy
rs7943728	11	61547068	61779596	proxy
rs968567	11	61595564	61828092	proxy
rs61896141	11	61556039	61788567	proxy
rs61897793	11	61599347	61831875	proxy
rs17145876	11	62195359	62427887	proxy
rs144771444	11	62104809	62337337	proxy
rs112686551	11	62091424	62323952	proxy
rs111980715	11	62055425	62287953	proxy
rs112374025	11	61846289	62078817	proxy
rs12224554	11	61823723	62056251	proxy
rs12226389	11	61823630	62056158	proxy
rs11230889	11	61823386	62055914	proxy
rs2015950	11	61825530	62058058	proxy
rs58451960	11	61827072	62059600	proxy
rs150684478	11	61312726	61545254	proxy
rs175133	11	60859791	61092319	proxy
rs2958540	11	62225120	62457648	proxy
rs11644601	16	15172118	15078261	proxy
rs11075253	16	15148646	15054789	proxy
rs12928099	16	15150505	15056648	proxy
rs67409412	16	15160493	15066651	proxy
rs4122352	16	15174571	15080714	proxy
rs1534843	11	61713495	61946023	proxy
rs75306442	11	61641396	61873924	proxy
rs76675711	11	61720537	61953065	proxy
rs7412	19	45412079	44908822	proxy
rs1065853	19	45413233	44909976	proxy
rs75679663	17	4667972	4764677	proxy
rs66668909	16	15255751	15161895	proxy
rs445925	19	45415640	44912383	proxy
rs72654473	19	45414399	44911142	proxy
rs390082	19	45416831	44913574	proxy
rs3741298	11	116657561	116786845	proxy
rs11604424	11	116651115	116780399	proxy
rs58847337	19	19726022	19615213	proxy
rs73004975	19	19727152	19616343	proxy
rs73004951	19	19695228	19584419	proxy
rs73004966	19	19716558	19605749	proxy
rs8107974	19	19388500	19277691	proxy
rs143988316	19	19667254	19556445	proxy
rs73004962	19	19713069	19602260	proxy
rs16996185	19	19720788	19609979	proxy
rs12608729	19	19700552	19589743	proxy
rs12610191	19	19721976	19611167	proxy
rs739846	19	19419071	19308262	proxy
rs10401969	19	19407718	19296909	proxy
rs10500212	19	19723215	19612406	proxy
rs200210321	19	19393890	19283082	proxy
rs17216588	19	19664077	19553268	proxy
rs16996148	19	19658472	19547663	proxy
rs3794991	19	19610596	19499787	proxy
rs73004959	19	19711139	19600330	proxy
rs150641967	19	19370340	19259532	proxy
rs12610185	19	19721722	19610913	proxy
rs58542926	19	19379549	19268740	proxy
rs141756246	19	19685470	19574662	proxy
rs73004933	19	19675696	19564887	proxy
rs57504626	19	19720399	19609590	proxy
rs73004926	19	19671266	19560457	proxy
rs56255430	19	19477877	19367068	proxy
rs150824230	19	19670610	19559801	proxy
rs17216525	19	19662220	19551411	proxy
rs73002956	19	19578743	19467934	proxy
rs145717049	19	19130096	19019287	proxy
rs7744440	6	11038511	11038278	proxy
rs9295757	6	11033625	11033392	proxy
rs7749669	6	11089229	11088996	proxy
rs4601123	6	11050803	11050570	proxy
rs111676697	6	11089529	11089296	proxy
rs3839412	6	11036316	11036084	proxy
rs2208338	6	11028654	11028421	proxy
rs2180725	6	11025420	11025187	proxy
rs7748694	6	11089338	11089105	proxy
rs28444611	6	11040767	11040534	proxy
rs17675361	6	11078237	11078004	proxy
rs28792430	6	10984964	10984731	proxy
rs9295754	6	11027742	11027509	proxy
rs138162676	6	10995595	10995363	proxy
rs9366716	6	11042418	11042185	proxy
rs3839413	6	11037144	11036912	proxy
rs2295601	6	11005686	11005453	proxy
rs139566989	15	58726968	58434770	proxy
rs1077834	15	58723479	58431280	proxy
rs261334	15	58726744	58434545	proxy
rs35980001	15	58722590	58430392	proxy
rs57082372	6	11040668	11040435	proxy
rs2281591	6	10990493	10990260	proxy
rs4640881	6	11033028	11032795	proxy
rs4495264	6	11003731	11003498	proxy
rs9468308	6	11044068	11043835	proxy
rs9380073	6	11062150	11061917	proxy
rs146632589	6	10986228	10985995	proxy
rs9393903	6	11042909	11042676	proxy
rs3798721	6	11040183	11039950	proxy
rs3756963	6	11022154	11021921	proxy
rs3798719	6	11036825	11036592	proxy
rs142566314	6	10992650	10992418	proxy
rs58664468	6	11088007	11087774	proxy
rs9368564	6	11060283	11060050	proxy
rs17606561	6	10982359	10982126	proxy
rs200230849	6	10987518	10987285	proxy
rs3798718	6	11036447	11036214	proxy
rs146655629	6	11054745	11054512	proxy
rs3798723	6	11041720	11041487	proxy
rs9393915	6	11072322	11072089	proxy
rs7749936	6	11089345	11089112	proxy
rs7744073	6	11038292	11038059	proxy
rs147535679	6	11048825	11048593	proxy
rs3798722	6	11040423	11040190	proxy
rs12660775	6	11088903	11088670	proxy
rs1077835	15	58723426	58431227	proxy
rs588136	15	58730498	58438299	proxy
rs261342	15	58731153	58438954	proxy
rs1800588	15	58723675	58431476	proxy
rs2070895	15	58723939	58431740	proxy
rs261332	15	58727325	58435126	proxy
rs11216040	11	116488539	116617822	proxy
rs12365864	11	116489036	116618319	proxy
rs12365322	11	116490970	116620253	proxy
rs61904858	11	116492107	116621390	proxy
rs11216046	11	116492701	116621984	proxy
rs10474433	5	74616843	75321018	proxy
rs4704208	5	74621671	75325846	proxy
rs17671591	5	74615021	75319196	proxy
rs79225634	5	74619639	75323814	proxy
rs13358429	5	74618186	75322361	proxy
rs2878417	5	74617262	75321437	proxy
rs247616	16	56989590	56955678	proxy
rs12149545	16	56993161	56959249	proxy
rs821840	16	56993886	56959974	proxy
rs247617	16	56990716	56956804	proxy
rs3764261	16	56993324	56959412	proxy
rs173539	16	56988044	56954132	proxy
rs12446515	16	56987015	56953103	proxy
rs183130	16	56991363	56957451	proxy
rs36229491	16	56994244	56960333	proxy
rs56156922	16	56987369	56953457	proxy
rs17231506	16	56994528	56960616	proxy
rs56228609	16	56987765	56953853	proxy
rs1629122	1	63046578	62580907	proxy
rs11356503	1	62929378	62463708	proxy
rs12090886	1	62981440	62515769	proxy
rs1570694	1	63103217	62637546	proxy
rs880694	1	63173284	62707613	proxy
rs1168102	1	63127705	62662034	proxy
rs1168089	1	63113719	62648048	proxy
rs993013	1	63111069	62645398	proxy
rs1183260	1	62945418	62479747	proxy
rs7527004	1	62972228	62506557	proxy
rs33999917	1	63116041	62650371	proxy
rs3913007	1	62921586	62455915	proxy
rs12116574	1	63037837	62572166	proxy
rs1184865	1	62973795	62508124	proxy
rs1168027	1	62970184	62504513	proxy
rs66531495	1	63108680	62643010	proxy
rs1168046	1	62983693	62518022	proxy
rs148513064	1	62986146	62520476	proxy
rs10889344	1	63033941	62568270	proxy
rs28641195	1	63128081	62662410	proxy
rs9436661	1	62904575	62438904	proxy
rs12124281	1	62934002	62468331	proxy
rs1168021	1	63009900	62544229	proxy
rs1168001	1	62933758	62468087	proxy
rs2366636	1	63056670	62590999	proxy
rs79439217	1	63060037	62594367	proxy
rs11207974	1	62949960	62484289	proxy
rs4344355	1	63153953	62688282	proxy
rs12136083	1	63163073	62697402	proxy
rs1168023	1	63006595	62540924	proxy
rs61471917	1	63084030	62618359	proxy
rs1748201	1	63045506	62579835	proxy
rs3850634	1	63050598	62584927	proxy
rs10789120	1	63101123	62635452	proxy
rs10889339	1	63012056	62546385	proxy
rs11207981	1	63006087	62540416	proxy
rs35194512	1	63048277	62582606	proxy
rs6657050	1	63105253	62639582	proxy
rs35913674	1	62944947	62479277	proxy
rs12029068	1	62904295	62438624	proxy
rs11207970	1	62915473	62449802	proxy
rs1168020	1	63009956	62544285	proxy
rs1748197	1	63056112	62590441	proxy
rs113655880	1	63152553	62686884	proxy
rs35836805	1	62974458	62508791	proxy
rs1168086	1	63112389	62646718	proxy
rs1168022	1	63007721	62542050	proxy
rs1168034	1	62963914	62498243	proxy
rs11343278	1	63016390	62550720	proxy
rs1168009	1	62943954	62478283	proxy
rs1168132	1	63133468	62667797	proxy
rs56280080	1	63153199	62687531	proxy
rs6587980	1	63090858	62625187	proxy
rs11207997	1	63061906	62596235	proxy
rs10889356	1	63155349	62689678	proxy
rs1168098	1	63121294	62655623	proxy
rs144042353	1	63036129	NA	proxy
rs1168030	1	62968491	62502820	proxy
rs10789112	1	62957758	62492087	proxy
rs656297	1	62907595	62441924	proxy
rs10889349	1	63081919	62616248	proxy
rs1781195	1	62988972	62523301	proxy
rs11207990	1	63041086	62575415	proxy
rs1168036	1	62962734	62497063	proxy
rs1979722	1	62940097	62474426	proxy
rs11311703	1	62972142	62506472	proxy
rs1748200	1	63046039	62580368	proxy
rs2934744	1	63048045	62582374	proxy
rs10889354	1	63129082	62663411	proxy
rs7519785	1	63019919	62554248	proxy
rs62932760	1	62924205	62458535	proxy
rs113142226	1	63165652	62699981	proxy
rs1168015	1	62996046	62530375	proxy
rs10889357	1	63160282	62694611	proxy
rs10889360	1	63173918	62708247	proxy
rs2479464	1	63130991	62665320	proxy
rs34211669	1	63093661	62627991	proxy
rs374214922	1	63106174	62640507	proxy
rs56342264	1	62968909	62503239	proxy
rs10889334	1	62957199	62491528	proxy
rs12124284	1	62934027	62468356	proxy
rs11208007	1	63176083	62710412	proxy
rs1179765	1	63010110	62544439	proxy
rs12037659	1	62923863	62458192	proxy
rs11577840	1	62991369	62525698	proxy
rs4915840	1	62999595	62533924	proxy
rs1168026	1	62970996	62505325	proxy
rs10789119	1	63098235	62632564	proxy
rs28399032	1	63135624	62669953	proxy
rs145329819	1	62986157	62520487	proxy
rs1168013	1	62996838	62531167	proxy
rs2489835	1	62954971	62489300	proxy
rs10889330	1	62939466	62473795	proxy
rs138871224	1	62935577	62469907	proxy
rs1168099	1	63122859	62657188	proxy
rs10158897	1	62912919	62447248	proxy
rs1690766	1	62987289	62521618	proxy
rs636523	1	62920008	62454337	proxy
rs9659790	1	63165761	62700090	proxy
rs6693353	1	63031616	62565945	proxy
rs1168124	1	63139730	62674059	proxy
rs1627591	1	62989807	62524136	proxy
rs626787	1	62901243	62435572	proxy
rs12047226	1	63105538	62639867	proxy
rs11207977	1	62977307	62511636	proxy
rs11207980	1	62992749	62527078	proxy
rs11207996	1	63055470	62589799	proxy
rs597078	1	62917857	62452186	proxy
rs1168044	1	62977558	62511887	proxy
rs597076	1	62917865	62452194	proxy
rs10889343	1	63026429	62560758	proxy
rs144834675	1	63169866	NA	proxy
rs116405518	1	63036807	NA	proxy
rs11207986	1	63018170	62552499	proxy
rs35664253	1	62997736	62532066	proxy
rs11207992	1	63041800	62576129	proxy
rs1007205	1	62936912	62471241	proxy
rs6675401	1	63073975	62608304	proxy
rs11485618	1	63094207	62628536	proxy
rs1168097	1	63120371	62654700	proxy
rs112552009	19	11193091	11082415	proxy
rs151113958	19	11191201	11080526	proxy
rs113722226	19	11189272	11078596	proxy
rs115594766	19	11190110	11079434	proxy
rs145329186	19	11188313	11077638	proxy
rs112374545	19	11188899	11078223	proxy
rs77140532	19	11192831	11082155	proxy
rs111989435	19	11187611	11076935	proxy
rs73015020	19	11192550	11081874	proxy
rs17248720	19	11198187	11087511	proxy
rs73015021	19	11192915	11082239	proxy
rs112736558	19	11187422	11076746	proxy
rs118068660	19	11190544	11079868	proxy
rs56289821	19	11188247	11077571	proxy
rs112107114	19	11190074	11079398	proxy
rs138175288	19	11189980	11079304	proxy
rs112032422	19	11190292	11079616	proxy
rs112898275	19	11188850	11078174	proxy
rs114846969	19	11191197	11080521	proxy
rs144826254	19	11187358	11076682	proxy
rs142130958	19	11190652	11079976	proxy
rs55997232	19	11188117	11077441	proxy
rs17248727	19	11198502	11087826	proxy
rs138294113	19	11191729	11081053	proxy
rs57223420	19	11188544	11077880	proxy
rs73015016	19	11191300	11080624	proxy
rs12151108	19	11197261	11086585	proxy
rs143020224	19	11187324	11076648	proxy
rs145960625	19	11190549	11079873	proxy
rs142158911	19	11190534	11079858	proxy
rs6511720	19	11202306	11091630	proxy
rs139853365	19	11190556	11079880	proxy
rs73015024	19	11197598	11086922	proxy
rs73015013	19	11190873	11080197	proxy
rs200495339	19	11189298	11078623	proxy
rs77265569	19	11190481	11079805	proxy
rs60173709	19	11201988	11091313	proxy
rs148898583	19	11189205	11078529	proxy
rs10412048	19	11193949	11083273	proxy
rs8106503	19	11196886	11086210	proxy
rs10402112	19	11191677	11081001	proxy
rs57217136	19	11201124	11090448	proxy
rs56125973	19	11188164	11077488	proxy
rs61194703	19	11192193	11081517	proxy
rs73015011	19	11189764	11079088	proxy
rs55791371	19	11188153	11077477	proxy
rs139306531	19	11196356	11085681	proxy
rs114821903	19	11189937	11079261	proxy
rs374982520	19	11188974	11078299	proxy
rs141787760	19	11202194	11091519	proxy
rs11591147	1	55505647	55039974	proxy
rs11207983	1	63012107	62546436	proxy
rs12062275	1	62991905	62526234	proxy
rs10789113	1	63015199	62549528	proxy
rs1305521	1	62949034	62483363	proxy
rs11208001	1	63130431	62664760	proxy
rs10889340	1	63012071	62546400	proxy
rs10889331	1	62943007	62477336	proxy
rs1167996	1	62927797	62462126	proxy
rs9436222	1	62903363	62437692	proxy
rs9436223	1	62903547	62437876	proxy
rs9436224	1	63048275	62582604	proxy
rs11208004	1	63145439	62679768	proxy
rs9436221	1	62903359	62437688	proxy
rs1168029	1	62969402	62503731	proxy
rs67461605	1	63070537	62604867	proxy
rs12074528	1	63010871	62545200	proxy
rs12403207	1	62993620	62527949	proxy
rs1167998	1	62931632	62465961	proxy
rs2366638	1	63099577	62633906	proxy
rs7548877	1	63005950	62540279	proxy
rs67730679	1	63006803	62541133	proxy
rs1184547	1	63007228	62541557	proxy
rs10889353	1	63118196	62652525	proxy
rs998403	1	62928549	62462878	proxy
rs11207982	1	63007182	62541511	proxy
rs72500968	1	62940266	62474595	proxy
rs1168028	1	62969431	62503760	proxy
rs72306409	1	62980399	62514729	proxy
rs61393465	1	63000731	62535061	proxy
rs11208000	1	63108374	62642703	proxy
rs11588261	1	62904936	62439265	proxy
rs1168002	1	62934308	62468637	proxy
rs6696502	1	63039533	62573862	proxy
rs10889342	1	63018852	62553181	proxy
rs9988450	1	62924448	62458777	proxy
rs10889333	1	62957030	62491359	proxy
rs1177541	1	62929892	62464221	proxy
rs7531579	1	63147040	62681369	proxy
rs4350231	1	62922660	62456989	proxy
rs641540	1	62908538	62442867	proxy
rs71776858	1	63074527	62608857	proxy
rs4587594	1	63133930	62668259	proxy
rs598253	1	62911341	62445670	proxy
rs1168003	1	62934846	62469175	proxy
rs1690761	1	62955862	62490191	proxy
rs638714	1	62906489	62440818	proxy
rs10889335	1	62960101	62494430	proxy
rs10493322	1	62905893	62440222	proxy
rs11207984	1	63013396	62547725	proxy
rs2131926	1	63026011	62560340	proxy
rs10889336	1	62980410	62514739	proxy
rs60688353	1	62906089	62440419	proxy
rs1168010	1	62943979	62478308	proxy
rs35834397	1	63159212	62693542	proxy
rs11207999	1	63098641	62632970	proxy
rs142666378	1	63038303	62572633	proxy
rs141409973	1	63097424	62631754	proxy
rs11207995	1	63049551	62583880	proxy
rs79346928	1	62919978	62454308	proxy
rs6666816	1	63171199	62705528	proxy
rs112957492	1	63117010	62651339	proxy
rs1305520	1	62926057	62460386	proxy
rs1168047	1	62983751	62518080	proxy
rs4329540	1	63027024	62561353	proxy
rs1748195	1	63049593	62583922	proxy
rs10159255	1	63020816	62555145	proxy
rs1472257	1	63042126	62576455	proxy
rs6682423	1	63171063	62705392	proxy
rs1168085	1	63112320	62646649	proxy
rs7547965	1	62926371	62460700	proxy
rs1168114	1	63156043	62690372	proxy
rs4915621	1	63029433	62563762	proxy
rs7555577	1	63034363	62568692	proxy
rs11207994	1	63047987	62582316	proxy
rs35529421	1	62965621	62499950	proxy
rs10714295	1	62919027	62453357	proxy
rs12023489	1	62923858	62458187	proxy
rs181835401	1	63135955	62670284	proxy
rs624660	1	62920388	62454717	proxy
rs7518497	1	63177696	62712025	proxy
rs12038768	1	63040728	62575057	proxy
rs12042319	1	63049819	62584148	proxy
rs35530163	1	62918198	62452528	proxy
rs61775910	1	62993403	62527732	proxy
rs7539035	1	63106767	62641096	proxy
rs746735	1	63113511	62647840	proxy
rs11207972	1	62930224	62464553	proxy
rs637723	1	62906728	62441057	proxy
rs630144	1	62918864	62453193	proxy
rs1168017	1	63002551	62536880	proxy
rs10889332	1	62950858	62485187	proxy
rs631106	1	62901807	62436136	proxy
rs634341	1	62921422	62455751	proxy
rs1168042	1	62974150	62508479	proxy
rs7526446	1	63167984	62702313	proxy
rs10889338	1	62984897	62519226	proxy
rs10789116	1	63042738	62577067	proxy
rs10889348	1	63078222	62612551	proxy
rs59952505	1	63072867	62607197	proxy
rs10889347	1	63075826	62610155	proxy
rs111337204	1	63146249	62680578	proxy
rs1168018	1	63001120	62535449	proxy
rs2131925	1	63025942	62560271	proxy
rs11207969	1	62911751	62446080	proxy
rs1168040	1	62960575	62494904	proxy
rs60286666	1	63121101	62655431	proxy
rs6690733	1	63060311	62594640	proxy
rs1690755	1	62980161	62514490	proxy
rs1168050	1	62986955	62521284	proxy
rs6587976	1	62945631	62479960	proxy
rs636497	1	62920029	62454358	proxy
rs11207985	1	63013786	62548115	proxy
rs4409689	1	63177365	62711694	proxy
rs1781221	1	63006842	62541171	proxy
rs34465969	1	63048276	62582605	proxy
rs583609	1	62916796	62451125	proxy
rs12239736	1	63085997	62620326	proxy
rs11207979	1	62982994	62517323	proxy
rs12239737	1	63086001	62620330	proxy
rs141381355	1	62999110	62533440	proxy
rs597470	1	62917796	62452125	proxy
rs1781212	1	62977419	62511748	proxy
rs6686331	1	63182135	62716464	proxy
rs995000	1	63107526	62641855	proxy
rs1168031	1	62967987	62502316	proxy
rs1168127	1	63136078	62670407	proxy
rs1748199	1	63057136	62591465	proxy
rs9787156	1	63179212	62713541	proxy
rs783291	1	62914978	62449307	proxy
rs11207976	1	62976751	62511080	proxy
rs642845	1	62908235	62442564	proxy
rs7520810	1	63095711	62630040	proxy
rs1002687	1	62963737	62498066	proxy
rs638305	1	62906537	62440866	proxy
rs10789118	1	63094692	62629021	proxy
rs1168107	1	63161173	62695502	proxy
rs1168113	1	63156098	62690427	proxy
rs1168093	1	63116227	62650556	proxy
rs57650980	1	62954372	62488703	proxy
rs12025800	1	63096781	62631110	proxy
rs2029763	1	63013134	62547463	proxy
rs1168032	1	62967747	62502076	proxy
rs10789114	1	63034222	62568551	proxy
rs10889337	1	62980607	62514936	proxy
rs4915838	1	62993068	62527397	proxy
rs35107877	1	63117178	62651508	proxy
rs150171344	1	62906034	62440364	proxy
rs1168128	1	63135846	62670175	proxy
rs4495740	1	63124465	62658794	proxy
rs10157265	1	63093617	62627946	proxy
rs1168104	1	63128325	62662654	proxy
rs35778797	1	62906682	62441013	proxy
rs10889350	1	63085266	62619595	proxy
rs659656	1	62912120	62446449	proxy
rs10889352	1	63099023	62633352	proxy
rs9787151	1	63179138	62713467	proxy
rs6678483	1	63074442	62608771	proxy
rs10789117	1	63072265	62606594	proxy
rs144064722	4	73406173	72540456	proxy
rs174418	15	58687603	58395404	proxy
rs190934192	1	55334001	54868328	proxy
